wl,n
6.15764,1.45790
6.17284,1.45687
6.18812,1.45582
6.20347,1.45476
6.21891,1.45370
6.23441,1.45262
6.25000,1.45154
6.26566,1.45044
6.28141,1.44933
6.29723,1.44821
6.31313,1.44708
6.32911,1.44594
6.34518,1.44478
6.36132,1.44362
6.37755,1.44244
6.39386,1.44125
6.41026,1.44005
6.42674,1.43883
6.44330,1.43761
6.45995,1.43637
6.47668,1.43512
6.49351,1.43385
6.51042,1.43257
6.52742,1.43128
6.54450,1.42997
6.56168,1.42865
6.57895,1.42732
6.59631,1.42597
6.61376,1.42460
6.63130,1.42323
6.64894,1.42183
6.66667,1.42042
6.68449,1.41900
6.70241,1.41756
6.72043,1.41610
6.73854,1.41463
6.75676,1.41314
6.77507,1.41163
6.79348,1.41011
6.81199,1.40857
6.83060,1.40701
6.84932,1.40543
6.86813,1.40383
6.88705,1.40222
6.90608,1.40059
6.92521,1.39893
6.94444,1.39726
6.96379,1.39557
6.98324,1.39385
7.00280,1.39212
7.02247,1.39037
7.04225,1.38859
7.06215,1.38679
7.08215,1.38497
7.10227,1.38313
7.12251,1.38126
7.14286,1.37937
7.16332,1.37746
7.18391,1.37552
7.20461,1.37356
7.22543,1.37157
7.24638,1.36955
7.26744,1.36751
7.28863,1.36545
7.30994,1.36335
7.33138,1.36123
7.35294,1.35908
7.37463,1.35690
7.39645,1.35469
7.41840,1.35245
7.44048,1.35018
7.46269,1.34787
7.48503,1.34554
7.50751,1.34317
7.53012,1.34077
7.55287,1.33834
7.57576,1.33587
7.59878,1.33337
7.62195,1.33082
7.64526,1.32825
7.66871,1.32563
7.69231,1.32298
7.71605,1.32028
7.73994,1.31755
7.76398,1.31477
7.78816,1.31195
7.81250,1.30909
7.83699,1.30619
7.86164,1.30323
7.88644,1.30024
7.91139,1.29719
7.93651,1.29410
7.96178,1.29096
7.98722,1.28776
8.01282,1.28451
8.03859,1.28122
8.06452,1.27786
8.09061,1.27445
8.11688,1.27098
8.14332,1.26745
8.16993,1.26387
8.19672,1.26022
8.22368,1.25650
8.25083,1.25273
8.27815,1.24888
8.30565,1.24496
8.33333,1.24098
8.36120,1.23692
8.38926,1.23279
8.41751,1.22858
8.44595,1.22429
8.47458,1.21992
8.50340,1.21547
8.53242,1.21093
8.56164,1.20631
8.59107,1.20159
8.62069,1.19678
8.65052,1.19187
8.68056,1.18687
8.71080,1.18176
8.74126,1.17654
8.77193,1.17122
8.80282,1.16579
8.83392,1.16024
8.86525,1.15457
8.89680,1.14878
8.92857,1.14287
8.96057,1.13682
8.99281,1.13064
9.02527,1.12432
9.05797,1.11786
9.09091,1.11124
9.12409,1.10448
9.15751,1.09755
9.19118,1.09047
9.22509,1.08321
9.25926,1.07578
9.29368,1.06817
9.32836,1.06037
9.36330,1.05239
9.39850,1.04420
9.43396,1.03581
9.46970,1.02721
9.50570,1.01839
9.54198,1.00935
9.57854,1.00008
9.61538,0.99058
9.65251,0.98083
9.68992,0.97084
9.72763,0.96059
9.76563,0.95009
9.80392,0.93933
9.84252,0.92832
9.88142,0.91704
9.92063,0.90550
9.96016,0.89371
10.00000,0.88168
10.04016,0.86941
10.08065,0.85692
10.12146,0.84424
10.16260,0.83140
10.20408,0.81842
10.24590,0.80537
10.28807,0.79230
10.33058,0.77927
10.37344,0.76638
10.41667,0.75370
10.46025,0.74134
10.50420,0.72943
10.54852,0.71808
10.59322,0.70742
10.63830,0.69758
10.68376,0.68868
10.72961,0.68082
10.77586,0.67413
10.82251,0.66867
10.86957,0.66453
10.91703,0.66176
